,city_trgt_label_enc,Age_bucket_label_enc,sex_label_enc,social_class_label_enc,primary_busn_label_enc,secondary_business_label_enc,annual_income_bucket_label_enc,monthly_expenses_bucket_label_enc,old_dependents,young_dependents,home_ownership,type_of_house_label_enc,occupants_count,house_area_bucket_label_enc,sanitary_availability,water_availabity,loan_purpose_label_enc,loan_tenure_bucket_label_enc,loan_installments_bucket_label_enc
32523,11,1,0,1,6,0,3,1,0,3,1.0,3,2,1,0.0,0.5,2,0,0
23026,1,1,0,1,6,0,3,1,0,2,1.0,3,2,1,0.0,0.5,2,0,0
8036,11,1,0,4,20,0,0,0,0,0,1.0,3,0,0,0.0,0.0,17,0,0
16550,11,1,0,0,20,4,1,1,0,2,1.0,2,4,1,0.0,1.0,12,0,0
14785,11,0,0,1,20,0,1,1,0,1,1.0,2,3,1,1.0,0.5,1,0,1
12143,11,1,0,4,18,0,0,0,0,0,1.0,3,0,0,0.0,0.0,2,0,0
13244,11,1,0,1,29,0,1,1,0,1,1.0,1,4,1,1.0,0.5,14,0,1
9193,11,1,0,4,12,0,0,1,0,0,1.0,2,0,0,0.0,0.0,28,0,0
25848,13,1,0,3,20,0,5,1,0,1,1.0,2,4,1,1.0,1.0,24,0,0
2854,10,1,0,1,29,0,2,1,0,3,1.0,2,1,1,1.0,0.5,14,0,0
37725,14,1,0,3,6,0,3,1,0,0,1.0,1,3,2,0.0,1.0,2,0,0
29755,14,1,0,3,29,0,2,0,0,0,1.0,2,4,2,0.0,0.5,14,0,0
28702,11,1,0,2,29,1,3,0,0,1,1.0,3,2,2,1.0,1.0,14,0,0
15954,12,1,0,3,4,0,3,0,0,1,1.0,1,1,2,1.0,1.0,14,0,1
30418,14,1,0,1,29,0,2,0,1,1,1.0,3,4,2,0.0,0.5,14,0,0
3767,11,1,0,3,20,0,1,1,0,3,1.0,3,5,2,1.0,0.5,10,0,0
36388,11,1,0,2,27,0,5,1,0,4,1.0,3,7,2,1.0,1.0,3,0,0
17385,11,0,0,3,27,0,5,1,0,2,0.0,1,2,2,1.0,1.0,3,0,0
10910,11,1,0,4,12,0,0,1,0,0,1.0,2,0,0,0.0,0.0,28,0,0
16140,14,1,0,3,18,0,3,1,0,0,1.0,3,4,2,1.0,1.0,2,0,0
20821,11,1,0,3,20,0,3,1,0,2,1.0,3,2,1,0.0,0.5,10,0,0
36034,14,1,0,2,20,0,4,1,0,1,1.0,3,4,2,1.0,1.0,1,0,0
10673,11,1,0,4,12,0,0,1,0,0,1.0,1,0,0,0.0,0.0,28,0,0
36373,14,1,0,1,20,0,3,1,0,2,1.0,3,2,1,1.0,1.0,2,0,0
6372,7,1,0,1,6,0,4,1,0,1,1.0,2,2,1,1.0,0.5,2,0,1
411,14,1,0,1,12,0,3,1,0,2,1.0,2,1,1,1.0,0.5,28,0,0
18339,8,0,0,1,20,0,2,1,0,2,1.0,2,4,1,1.0,0.5,31,0,1
16179,1,1,0,1,13,2,4,1,0,5,1.0,3,1,2,0.0,0.5,21,0,0
8348,11,1,0,4,20,0,0,1,0,0,1.0,3,0,0,0.0,0.0,12,0,1
17244,2,1,0,0,27,4,1,1,0,0,1.0,1,4,1,0.0,1.0,3,0,0
25340,17,1,1,0,20,2,4,1,1,0,1.0,2,2,2,1.0,1.0,12,0,0
37710,3,1,0,1,20,0,4,1,0,2,1.0,2,4,1,1.0,1.0,25,0,0
22142,1,1,0,3,6,0,3,1,0,0,1.0,3,2,1,0.0,0.5,2,0,0
24886,6,0,0,0,10,0,1,1,0,1,1.0,2,3,1,1.0,0.5,17,0,1
27992,17,0,0,1,27,2,4,1,0,1,1.0,2,3,2,1.0,1.0,3,0,0
