product,date,city,sales
FoodProcessor,04-01-2017,Mumbai,858861
FoodProcessor,05-01-2017,Mumbai,2005180
FoodProcessor,06-01-2017,Mumbai,1608808
FoodProcessor,07-01-2017,Mumbai,1802362
FoodProcessor,08-01-2017,Mumbai,1856831
FoodProcessor,09-01-2017,Mumbai,2042240
FoodProcessor,10-01-2017,Mumbai,1598109
FoodProcessor,11-01-2017,Mumbai,754558
FoodProcessor,12-01-2017,Mumbai,810344
FoodProcessor,01-01-2018,Mumbai,1247073
FoodProcessor,02-01-2018,Mumbai,890773
FoodProcessor,03-01-2018,Mumbai,1250281
Gas Stove,04-01-2014,Mumbai,526894
Gas Stove,05-01-2014,Mumbai,759977
Gas Stove,06-01-2014,Mumbai,576708
Gas Stove,07-01-2014,Mumbai,728336
Gas Stove,08-01-2014,Mumbai,773037
Gas Stove,09-01-2014,Mumbai,919734
Gas Stove,10-01-2014,Mumbai,851822
Gas Stove,11-01-2014,Mumbai,429627
Gas Stove,12-01-2014,Mumbai,812534
Gas Stove,01-01-2015,Mumbai,795244
Gas Stove,02-01-2015,Mumbai,644400
Gas Stove,03-01-2015,Mumbai,991865
Gas Stove,04-01-2015,Mumbai,1044094
Gas Stove,05-01-2015,Mumbai,1245936
Gas Stove,06-01-2015,Mumbai,696576
Gas Stove,07-01-2015,Mumbai,1134000
Gas Stove,08-01-2015,Mumbai,1068112
Gas Stove,09-01-2015,Mumbai,1095846
Gas Stove,10-01-2015,Mumbai,1560301
Gas Stove,11-01-2015,Mumbai,846263
Gas Stove,12-01-2015,Mumbai,1238701
Gas Stove,01-01-2016,Mumbai,930025
Gas Stove,02-01-2016,Mumbai,940988
Gas Stove,03-01-2016,Mumbai,1757774
Gas Stove,04-01-2016,Mumbai,1908275
Gas Stove,05-01-2016,Mumbai,1169377
Gas Stove,06-01-2016,Mumbai,659729
Gas Stove,07-01-2016,Mumbai,1238582
Gas Stove,08-01-2016,Mumbai,1334810
Gas Stove,09-01-2016,Mumbai,1700509
Gas Stove,10-01-2016,Mumbai,1730803
Gas Stove,11-01-2016,Mumbai,730862
Gas Stove,12-01-2016,Mumbai,966831
Gas Stove,01-01-2017,Mumbai,1306082
Gas Stove,02-01-2017,Mumbai,1209905
Gas Stove,03-01-2017,Mumbai,1883281
Gas Stove,04-01-2017,Mumbai,365169
Gas Stove,05-01-2017,Mumbai,1013985
Gas Stove,06-01-2017,Mumbai,1374015
Gas Stove,07-01-2017,Mumbai,2141626
Gas Stove,08-01-2017,Mumbai,3138978
Gas Stove,09-01-2017,Mumbai,2078922
Gas Stove,10-01-2017,Mumbai,1568948
Gas Stove,11-01-2017,Mumbai,1079786
Gas Stove,12-01-2017,Mumbai,1497683
Gas Stove,01-01-2018,Mumbai,2116298
Gas Stove,02-01-2018,Mumbai,1025850
Gas Stove,03-01-2018,Mumbai,774517
Oven Toaster Grill,04-01-2014,Mumbai,636594
Oven Toaster Grill,05-01-2014,Mumbai,918205
Oven Toaster Grill,06-01-2014,Mumbai,696779
Oven Toaster Grill,07-01-2014,Mumbai,879976
Oven Toaster Grill,08-01-2014,Mumbai,933985
Oven Toaster Grill,09-01-2014,Mumbai,1111225
Oven Toaster Grill,10-01-2014,Mumbai,1029173
Oven Toaster Grill,11-01-2014,Mumbai,519077
Oven Toaster Grill,12-01-2014,Mumbai,981705
Oven Toaster Grill,01-01-2015,Mumbai,960815
Oven Toaster Grill,02-01-2015,Mumbai,778565
Oven Toaster Grill,03-01-2015,Mumbai,1198373
Oven Toaster Grill,04-01-2015,Mumbai,879850
Oven Toaster Grill,05-01-2015,Mumbai,1049942
Oven Toaster Grill,06-01-2015,Mumbai,587000
Oven Toaster Grill,07-01-2015,Mumbai,955614
Oven Toaster Grill,08-01-2015,Mumbai,900090
Oven Toaster Grill,09-01-2015,Mumbai,923461
Oven Toaster Grill,10-01-2015,Mumbai,1314855
Oven Toaster Grill,11-01-2015,Mumbai,713140
Oven Toaster Grill,12-01-2015,Mumbai,1043844
Oven Toaster Grill,01-01-2016,Mumbai,783725
Oven Toaster Grill,02-01-2016,Mumbai,792964
Oven Toaster Grill,03-01-2016,Mumbai,1481263
Oven Toaster Grill,04-01-2016,Mumbai,1714476
Oven Toaster Grill,05-01-2016,Mumbai,1050618
Oven Toaster Grill,06-01-2016,Mumbai,592728
Oven Toaster Grill,07-01-2016,Mumbai,1112795
Oven Toaster Grill,08-01-2016,Mumbai,1199250
Oven Toaster Grill,09-01-2016,Mumbai,1527810
Oven Toaster Grill,10-01-2016,Mumbai,1555027
Oven Toaster Grill,11-01-2016,Mumbai,656638
Oven Toaster Grill,12-01-2016,Mumbai,868642
Oven Toaster Grill,01-01-2017,Mumbai,1173440
Oven Toaster Grill,02-01-2017,Mumbai,1087030
Oven Toaster Grill,03-01-2017,Mumbai,1692020
Oven Toaster Grill,04-01-2017,Mumbai,416915
Oven Toaster Grill,05-01-2017,Mumbai,1649181
Oven Toaster Grill,06-01-2017,Mumbai,1250383
Oven Toaster Grill,07-01-2017,Mumbai,1363142
Oven Toaster Grill,08-01-2017,Mumbai,1422495
Oven Toaster Grill,09-01-2017,Mumbai,1818920
Oven Toaster Grill,10-01-2017,Mumbai,2409451
Oven Toaster Grill,11-01-2017,Mumbai,614997
Oven Toaster Grill,12-01-2017,Mumbai,2103019
Oven Toaster Grill,01-01-2018,Mumbai,1708193
Oven Toaster Grill,02-01-2018,Mumbai,831972
Oven Toaster Grill,03-01-2018,Mumbai,1077551
Steam Iron,04-01-2014,Mumbai,946311
Steam Iron,05-01-2014,Mumbai,1364932
Steam Iron,06-01-2014,Mumbai,1035778
Steam Iron,07-01-2014,Mumbai,1308104
Steam Iron,08-01-2014,Mumbai,1388389
Steam Iron,09-01-2014,Mumbai,1651860
Steam Iron,10-01-2014,Mumbai,1529888
Steam Iron,11-01-2014,Mumbai,771619
Steam Iron,12-01-2014,Mumbai,1459327
Steam Iron,01-01-2015,Mumbai,1428273
Steam Iron,02-01-2015,Mumbai,1157354
Steam Iron,03-01-2015,Mumbai,1781407
Steam Iron,04-01-2015,Mumbai,900866
Steam Iron,05-01-2015,Mumbai,1075020
Steam Iron,06-01-2015,Mumbai,601021
Steam Iron,07-01-2015,Mumbai,978439
Steam Iron,08-01-2015,Mumbai,921589
Steam Iron,09-01-2015,Mumbai,945518
Steam Iron,10-01-2015,Mumbai,1346260
Steam Iron,11-01-2015,Mumbai,730173
Steam Iron,12-01-2015,Mumbai,1068777
Steam Iron,01-01-2016,Mumbai,802445
