Country,Year,Life Ladder,Log GDP,Social support,Life Expectancy,Choice Freedom,Generosity,Corruption,Positive affect,Negative affect,Government confidence,Population
Gabon,2018,4.783009052276611,9.598570823669434,0.7848275899887085,57.275001525878906,0.7191354036331177,-0.19838190078735352,0.8228634595870972,0.6138117909431458,0.41766098141670227,0.3113737106323242,2119275
Gabon,2019,4.914393424987793,9.612189292907715,0.7630516886711121,57.599998474121094,0.736349880695343,-0.20434099435806274,0.8462542295455933,0.6383766531944275,0.4129609763622284,0.35491296648979187,2172578
Georgia,2015,4.121940612792969,9.44186019897461,0.5173715949058533,64.19999694824219,0.6399449706077576,-0.20609214901924133,0.5024167895317078,0.4477141499519348,0.2331920862197876,0.25432729721069336,3725276
Georgia,2016,4.448386192321777,9.469911575317383,0.5334122776985168,64.32499694824219,0.6064683794975281,-0.2504960894584656,0.5609240531921387,0.4748525619506836,0.223224475979805,0.34454113245010376,3727505
Georgia,2017,4.450774669647217,9.517067909240723,0.5904951691627502,64.44999694824219,0.820908784866333,-0.24525488913059235,0.589631974697113,0.49581947922706604,0.20963960886001587,0.2963962256908417,3728004
Georgia,2018,4.659097194671631,9.564751625061035,0.617218554019928,64.57499694824219,0.775144100189209,-0.23412500321865082,0.7548537850379944,0.479062020778656,0.24377891421318054,0.3000061810016632,3726549
Georgia,2019,4.891835689544678,9.615089416503906,0.6749760508537292,64.69999694824219,0.8105341196060181,-0.2610630989074707,0.647223174571991,0.5028348565101624,0.24371002614498138,0.40521034598350525,3720161
Germany,2015,7.037137508392334,10.84269905090332,0.925923228263855,70.0999984741211,0.8894288539886475,0.17508050799369812,0.4121682941913605,0.7223848104476929,0.20270515978336334,0.6280036568641663,81686611
Germany,2016,6.873763084411621,10.856682777404785,0.9060292840003967,70.30000305175781,0.8705150485038757,0.1457333266735077,0.4459221363067627,0.7093761563301086,0.18725493550300598,0.5526135563850403,82348669
Germany,2017,7.074324607849121,10.87939453125,0.8921660780906677,70.5,0.8407278656959534,0.14241330325603485,0.41402119398117065,0.7071136832237244,0.19643481075763702,0.6229356527328491,82657002
Germany,2018,7.118364334106445,10.887190818786621,0.9197631478309631,70.69999694824219,0.8768875002861023,0.03152601420879364,0.4956739544868469,0.7401749491691589,0.24321457743644714,0.5929905772209167,82905782
Germany,2019,7.035472393035889,10.895435333251953,0.8856673240661621,70.9000015258789,0.884751558303833,0.054287467151880264,0.4622551500797272,0.7124611139297485,0.22617121040821075,0.5684604048728943,83092962
Ghana,2015,3.9859161376953125,8.473448753356934,0.6874485611915588,56.5,0.8520161509513855,-0.04047974944114685,0.9454361200332642,0.6747850775718689,0.26527854800224304,0.44152742624282837,27849203
Ghana,2016,4.514411449432373,8.484161376953125,0.6473031640052795,56.875,0.7511683702468872,0.08748196065425873,0.8939552307128906,0.6589245796203613,0.30490970611572266,0.5166046023368835,28481947
Ghana,2017,5.481310844421387,8.540109634399414,0.6691110730171204,57.25,0.7830463647842407,0.07657251507043839,0.8386099934577942,0.7147892713546753,0.24751894176006317,0.6702885627746582,29121464
